Date,BOE
2011-09-21,243824
2011-09-28,243044
2011-10-05,242597
2011-10-12,245817
2011-10-19,250712
2011-10-26,256207
2011-11-02,261148
2011-11-09,266972
2011-11-16,272689
2011-11-23,276556
2011-11-30,281859
2011-12-07,285580
2011-12-14,290851
2011-12-21,290062
2011-12-28,290246
2012-01-04,292222
2012-01-11,297146
2012-01-18,296927
2012-01-25,301472
2012-02-01,306428
2012-02-08,308344
2012-02-15,311459
2012-02-22,313518
2012-02-29,321228
2012-03-07,324565
2012-03-14,329620
2012-03-21,331625
2012-03-28,334150
2012-04-04,338303
2012-04-11,341042
2012-04-18,345930
2012-04-25,351251
2012-05-02,355451
2012-05-09,356368
2012-05-16,356806
2012-05-23,356252
2012-05-30,356177
2012-06-06,356319
2012-06-13,355610
2012-06-20,355316
2012-06-27,360367
2012-07-04,360450
2012-07-11,362721
2012-07-18,365522
2012-07-25,372565
2012-08-01,375949
2012-08-08,378346
2012-08-15,381014
2012-08-22,384990
2012-08-29,386729
2012-09-05,390996
2012-09-12,393093
2012-09-19,396239
2012-09-26,399508
2012-10-03,402087
2012-10-10,404623
2012-10-17,407839
2012-10-24,411001
2012-10-31,413868
2012-11-07,414472
2012-11-14,414455
2012-11-21,414343
2012-11-28,414839
2012-12-05,414552
2012-12-12,415099
2012-12-19,414611
2012-12-26,410381
2013-01-02,410223
2013-01-09,409852
2013-01-16,409853
2013-01-23,405346
2013-01-30,404517
2013-02-06,404410
2013-02-13,404054
2013-02-20,404228
2013-02-27,402431
2013-03-06,402819
2013-03-13,405567
2013-03-20,403680
2013-03-27,404061
2013-04-03,403797
2013-04-10,403969
2013-04-17,404071
2013-04-24,403858
2013-05-01,403381
2013-05-08,402968
2013-05-15,402779
2013-05-22,404294
2013-05-29,403771
2013-06-05,403404
2013-06-12,403386
2013-06-19,404220
2013-06-26,404092
2013-07-03,403852
2013-07-10,403965
2013-07-17,403789
2013-07-24,404055
2013-07-31,404889
2013-08-07,404995
2013-08-14,404566
2013-08-21,404377
2013-08-28,404591
2013-09-04,403987
2013-09-11,402949
2013-09-18,403261
2013-09-25,402990
2013-10-02,402275
2013-10-09,403246
2013-10-16,403215
2013-10-23,402950
2013-10-30,403291
2013-11-06,404340
2013-11-13,404868
2013-11-20,404272
2013-11-27,403430
2013-12-04,401973
2013-12-11,401388
2013-12-18,401479
2013-12-25,401729
2014-01-01,401261
2014-01-08,401472
2014-01-15,401622
2014-01-22,401867
2014-01-29,402280
2014-02-05,402814
2014-02-12,402162
2014-02-19,403089
2014-02-26,403617
2014-03-05,403709
2014-03-12,405312
2014-03-19,404304
2014-03-26,403786
2014-04-02,404026
2014-04-09,403888
2014-04-16,403722
2014-04-23,403335
2014-04-30,403613
2014-05-07,403409
2014-05-14,402786
2014-05-21,403174
2014-05-28,403425
2014-06-04,403179
2014-06-11,403371
2014-06-18,404280
2014-06-25,404797
2014-07-02,404588
2014-07-09,404964
2014-07-16,404806
2014-07-23,404980
2014-07-30,404971
2014-08-06,405170
2014-08-13,404956
2014-08-20,404945
2014-08-27,405184
2014-09-03,405455
2014-09-10,404953
2014-09-17,404299
2014-09-24,405132
