"Date","Weekly amounts outstanding of Central Bank sterling reserve balance liabilities (in sterling millions) not seasonally adjusted                           RPWB56A","Weekly amounts outstanding of Central Bank short-term open market operations (fine-tuning) (in sterling millions) not seasonally adjusted                           RPWB58A","Weekly amounts outstanding of Central Bank sterling short-term market operations with Bank of England counterparties (one-week) (in sterling millions) not seasonally adjusted                           RPWB9R8","Weekly amounts outstanding of Central Bank short-term open market operations (other maturity within-maintenance period sterling) (in sterling millions) not seasonally adjusted                           RPWBV79","Weekly amounts outstanding of Central Bank sterling notes in circulation total (in sterling millions) not seasonally adjusted                           RPWB55A","Weekly amounts outstanding of Central Bank fine-tuning reverse repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWB68A","Weekly amounts outstanding of Central Bank one-week reverse repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWB67A","Weekly amounts outstanding of Central Bank sterling other maturity within-maintenance period reverse repos Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWBL59","Weekly amounts outstanding of Central Bank sterling indexed long-term repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWZ4TJ","Weekly amounts outstanding of Central Bank sterling contingent term repo facility with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWZ4TK","Weekly amounts outstanding of Central Bank sterling denominated bond holdings total (in sterling millions) not seasonally adjusted                           RPWZ4TL","Weekly amounts outstanding of Central Bank sterling loan to Asset Purchase Facility total (in sterling millions) not seasonally adjusted                           RPWZ4TM","Accounting value of the aggregate drawings from the Term Funding Scheme on the Bank of England balance sheet (in sterling millions) financed by the creation of central bank reserves              [a]             RPWZO8Q","Accounting value of the aggregate drawings from the Term Funding Scheme with additional incentives for SMEs (TFSME) (in sterling millions) financed by the creation of central bank reserves                           RPWZOQ4","Weekly amounts outstanding of Central Bank sterling loan to Covid Corporate Financing Facility total (in sterling millions) not seasonally adjusted                           RPWZOQ3","Weekly amounts outstanding of Central Bank foreign currency public securities issued total (in sterling millions) not seasonally adjusted              [b]             RPWB59A","Weekly amounts outstanding of Central Bank all foreign currency reserve assets total (in sterling millions) not seasonally adjusted              [b]             RPWZ4TN"
"15 Dec 21","972517","0","0","0","88635","0","0","0","2456","0","16891","893800","902","192931","2138","9213","9212"
"08 Dec 21","973535","0","0","0","88403","0","0","0","2456","0","16750","890359","1493","192931","2238","9211","8174"
"01 Dec 21","971828","0","0","0","88158","0","0","0","2456","0","16636","886918","1889","193381","2238","8116","8047"
"24 Nov 21","967271","0","0","0","88028","0","0","0","2456","0","16592","883477","1916","193381","2536","8041","8039"
"17 Nov 21","967635","0","0","0","87863","0","0","0","2456","0","16511","879412","2214","193381","2835","7817","7358"
"10 Nov 21","964762","0","0","0","87950","0","0","0","2306","0","16400","878265","2264","193381","2835","7238","7166"
"03 Nov 21","961365","0","0","0","88036","0","0","0","2296","0","16396","877119","2289","193381","2835","7073","6815"
"27 Oct 21","936391","0","0","0","87993","0","0","0","2285","0","16392","873678","5007","166455","2835","6679","6113"
"20 Oct 21","905287","0","0","0","88024","0","0","0","2280","0","16318","872531","10367","133952","3432","6028","5485"
"13 Oct 21","885043","0","0","0","88056","0","0","0","2280","0","16221","870237","12847","115023","3432","5560","4974"
"06 Oct 21","870620","0","0","0","88039","0","0","0","2310","0","16121","869090","13717","105707","3432","4891","4892"
"29 Sep 21","859539","0","0","0","88143","0","0","0","2305","0","16077","866796","14172","99989","3432","4487","4488"
"22 Sep 21","851363","0","0","0","88003","0","0","0","2305","0","16032","865649","16652","94940","3606","4420","4419"
"15 Sep 21","850975","0","0","0","88168","0","0","0","2305","0","15944","863355","18125","92349","3606","4362","4360"
"08 Sep 21","849568","0","0","0","88220","0","0","0","2430","0","15847","862208","20007","91024","3606","4389","4389"
"01 Sep 21","856787","0","0","0","88321","0","0","0","2430","0","16224","857621","20531","89326","3906","4376","4376"
"25 Aug 21","854410","0","0","0","88037","0","0","0","2430","0","16151","855327","21004","88507","3906","4392","4392"
"18 Aug 21","854771","0","0","0","87916","0","0","0","2430","0","16056","851886","21545","87572","3945","4401","4402"
"11 Aug 21","850208","0","0","0","88039","0","0","0","2430","0","15975","848789","22226","86341","3995","4365","4366"
"04 Aug 21","847781","0","0","0","88025","0","0","0","2715","0","15926","847642","22431","85772","3995","4357","4357"
"28 Jul 21","845801","0","0","0","87961","0","0","0","2695","0","15850","845349","22716","88392","4060","4367","4366"
"21 Jul 21","845644","0","0","0","87746","0","0","0","2695","0","15782","844202","23088","90149","4358","4429","4427"
"14 Jul 21","843402","0","0","0","87693","0","0","0","2695","0","15702","841908","23576","89788","4408","4363","4362"
"07 Jul 21","839382","0","0","0","87741","0","0","0","3090","0","15633","840761","23676","89663","4408","4393","4392"
